System,Utterance,Bleurt,WordInfoLost,WordErrorRate,TranslationEditRate,MatchErrorRate,ExtendedEditDistance,CharErrorRate,Infolm_fisher_rao,Infolm_linf,Infolm_l2,Infolm_l1,Infolm_ab,Infolm_beta,Infolm_renyi,Infolm_alpha,Infolm_kl,DepthScore,baryscore_W,baryscore_SD_10,baryscore_SD_1,baryscore_SD_5,MoverScore,BERTScore,Chrfpp,BLEU,ROUGE_2,ROUGE_1,ROUGE_L,JS_2,JS_1,ROUGE_WE_2,ROUGE_WE_1,ref1,ref2,ref3,ref4,ref5,hyp,H:score
M0,0,1.0587581,0.9833333492279052,1.090909123420715,1.090909123420715,0.875,0.6824242472648621,1.0,2.0359699726104736,0.0712572485208511,0.1572089344263076,1.2391620874404907,2.5200347900390625,1.8366069793701167,0.6798157691955566,2.933384656906128,4.895532608032227,0.0946567918787485,0.568090734215407,0.8270706818929825,0.8043353437898189,0.8251389537231413,-0.1758190283673779,-0.5430150628089905,-0.1634293496608734,-0.0,-0.0,-0.1818181818181818,-0.0714285714285714,0.6931471805599454,0.6931471805599453,-0.0,-0.1818181818181818,A blond woman in a blue shirt appears to wait for a ride .,A blond woman is on the street hailing a taxi .,"A woman is signaling is to traffic , as seen from behind .",A woman with blonde hair wearing a blue tube top is waving on the side of the street .,The woman in the blue dress is holding out her arm at oncoming traffic .,A young child is wearing blue goggles and sitting in a float in a pool .,1.0
M0,1,1.1722935,0.9935064911842346,2.1666667461395264,2.1666667461395264,0.9285714030265808,0.7365269660949707,1.4838709831237793,1.9254230260849,0.0663101077079773,0.1421404331922531,1.3026456832885742,2.278667449951172,1.6992926597595217,0.5764521360397339,2.518486738204956,4.0704755783081055,0.1133824770054339,0.5798120920138722,0.8170287855143733,0.7822491168838672,0.8139533473430978,-0.1639574536862726,-0.5660707354545593,-0.1098560392856598,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,A boy in his blue swim shorts at the beach .,A boy smiles for the camera at a beach .,A young boy in swimming trunks is walking with his arms outstretched on the beach .,Children playing on the beach .,The boy is playing on the shore of an ocean .,A white dog jumps to catch a blue ball in a living room .,1.0
M0,2,1.192491,0.9948717951774596,1.4285714626312256,1.4285714626312256,0.9333333373069764,0.7017543911933899,1.919999957084656,2.1247210502624507,0.0746879950165748,0.1678722947835922,1.3966057300567627,3.4327392578125,1.5931596755981443,0.8161804676055908,2.9000034332275386,4.63820743560791,0.0979590180893414,0.5068496910740844,0.8368928050478055,0.8068000369880569,0.8342696921677146,-0.1694391426382985,-0.588434636592865,-0.1071934625506401,-0.0,-0.0,-0.0625,-0.0625,0.6931471805599454,0.6931471805599452,-0.0,-0.0625,A boy eats with a spoon .,A little boy holds a spoon up to his mouth .,A little boy is eating his food off of a spoon while sitting on a patio .,A small child dressed in green is eating with a spoon .,A young child holds a spoon to its mouth while sitting in a chair .,An older woman with blond hair rides a bicycle down the street .,1.0
M0,3,1.0514221,1.0,1.7142857313156128,1.7142857313156128,1.0,0.737574577331543,1.5666667222976685,2.0987749099731445,0.1335483938455581,0.2042774558067321,1.5088402032852173,2.546009063720703,2.23055362701416,0.7219762206077576,2.733750343322754,4.0945215225219735,0.1057565054095086,0.5434002045203375,0.7985242236591943,0.7653120733988238,0.7956510452227334,-0.2411313166767921,-0.583446741104126,-0.1349992454051971,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,Three children are playing in sand near to the beach .,Three children playing in sand at beach,Three girls play in the sand .,"Three little blond girls , two in blue , one in pink , play on a sunny beach .",Three young girls dance on the beach in the sand .,A young child with a dirty shirt is standing on a playground,2.333333333333333
M0,4,1.1165588,0.9940828680992126,1.0,1.0,0.9230769276618958,0.7301927208900452,0.7884615659713745,2.1167974472045903,0.1063435450196266,0.1659912765026092,1.501340627670288,2.507526397705078,2.4878053665161133,0.7095303535461426,2.9730908870697017,4.5402655601501465,0.0907084733761775,0.5812232247487318,0.8170351148721461,0.7962900646826043,0.8153456366251526,-0.0789811065032014,-0.5063718557357788,-0.1196823641657829,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,"One man in red shirt and black pants with a man in white shirt and tan shorts , golfing .","Tree in the foreground , two men playing golf in the background .",Two golfers are standing on the fairway looking off into the distance .,Two golfers look off into the distance with hands blocking the sun .,Two men looking into the distance on a golf course .,A black dog jumping off a river bank near a wooded area .,1.0
M0,5,1.2120419,0.976190447807312,1.0,1.0,0.8571428656578064,0.6911607980728149,0.8095238208770752,1.883360385894776,0.0609455816447734,0.141040101647377,1.2038151025772097,2.2807540893554688,1.4383339881896973,0.5759193301200867,2.9232356548309326,6.36810302734375,0.0947773303614131,0.5216915002786566,0.8214525295450457,0.7956619904179786,0.8192495613548083,-0.2382072053281052,-0.5617493987083435,-0.1329956948757171,-0.0,-0.0,-0.1538461538461538,-0.1538461538461538,0.6931471805599454,0.6931471805599453,-0.0833333333333333,-0.1538461538461538,A girl is getting ready to swing the club .,A woman in shorts and a blue sleeveless shirt leans over a golf club .,A woman is taking a swing with a golf club .,A woman wearing a blue shirt and hat with khaki shorts plays golf .,A woman wearing blue begins a golf swing .,A man is hiking on a mountaintop on a cloudy day .,1.0
M0,6,1.149278,0.9642857313156128,1.5,1.5,0.8571428656578064,0.7038216590881348,1.2439024448394775,1.9023962020874023,0.050757598131895,0.0942841321229934,1.2679471969604492,2.4234275817871094,1.4336595535278318,0.5650046467781067,2.542886972427368,4.341886520385741,0.0995464119623857,0.4760922756047992,0.7229070292071307,0.7015947705494938,0.7208404787507093,-0.2493503163157878,-0.6176028251647949,-0.1347463577985763,-0.0,-0.05,-0.1904761904761904,-0.1904761904761904,0.6931471805599453,0.6931471805599452,-0.05,-0.1904761904761904,A group of people in costume at a renaissance fair .,People in costume at a renaissance fair .,Two woman in colorful costumes look at a little girl wearing a brown vest .,two women and a child are sitting by a cart of arrows in front of a booth at a medieval Fayre .,Two women crouch near a small child at a medieval fair .,A woman with holding a young girl playing with bubbles at a picnic .,1.6666666666666667
M0,7,0.86557126,0.9868420958518982,2.4285714626312256,2.4285714626312256,0.8947368264198303,0.7481203079223633,2.807692289352417,1.7333533763885498,0.057975947856903,0.1350198090076446,1.2577615976333618,1.822601318359375,1.2370572090148926,0.4771219193935394,2.167614459991455,3.2236251831054688,0.1099622769761096,0.5272653507093958,0.7610679802670963,0.7325380916815585,0.7586053677879281,-0.2314147504848295,-0.6218052506446838,-0.1170170456171035,-0.0,-0.0,-0.125,-0.125,0.6931471805599452,0.6931471805599452,-0.0,-0.125,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .,A child poses wearing glasses near water outside .,A small girl smiling on the beach .,A young kid at the beach .,a young man wearing swimming goggles wearing a blue shirt with a pirate skull on it,A little girl in a white shirt sliding down a green slide splashing into a blue baby pool .,1.0
M0,8,1.1640071,0.994318187236786,1.4285714626312256,1.2857142686843872,0.9375,0.7346938848495483,1.15625,1.9490138292312624,0.078245609998703,0.1779176592826843,1.3378376960754397,1.576763153076172,1.914437294006348,0.6478431820869446,2.3191912174224854,4.558907508850098,0.0883005565448426,0.4858172428710455,0.8143507309062085,0.7875440403474399,0.8120514695345303,-0.2754658759696056,-0.5897541642189026,-0.1117985546588897,-0.0,-0.0,-0.0666666666666666,-0.0666666666666666,0.6931471805599453,0.6931471805599452,-0.0,-0.1,A barefoot red-headed girl jumping over a rail .,a girl jumps on the trampoline .,A young girl jumping over a railing or a ladder on its side .,The small red haired girl jumps on the trampoline under the tree by the shed .,The young child with red hair bounced on the trampoline .,A little boy slides down a bright red corkscrew slide .,1.6666666666666667
M0,9,1.3631886,0.9848484992980956,0.9090909361839294,0.9090909361839294,0.9090909361839294,0.7304189205169678,0.8620689511299133,2.0122299194335938,0.0572407618165016,0.1205718889832496,1.4093345403671265,2.090667724609375,2.2866992950439453,0.6522113680839539,2.318824291229248,3.1377062797546387,0.1002035180514943,0.5940041138715482,0.8406498917402421,0.8033656941779843,0.8373232796852215,-0.1210445654060338,-0.5137354731559753,-0.0991433411836624,-0.0,-0.0,-0.0,-0.0,0.6931471805599453,0.6931471805599453,-0.0,-0.0,A boy rides on a tire swing .,A boy swinging on a tire-swing .,A small boy in a horizontal tire swing .,Young boy smiles at the camera from the tire swing .,Young boy swinging on a tire swing .,Three dogs running through water .,1.0
